sample_id,longitude,latitude,parcel_id,crop_type,N_mg_kg,P_mg_kg,K_mg_kg,SOC_percent,pH,easting,northing,B02,B03,B04,B08,B11,B12,sand,clay,silt,bulk_density,NDVI,EVI,NDRE
SAMP_0001,76.0846023636587,27.179000344661453,PARCEL_002,wheat,85.91,49.92,69.52,1.03,6.47,607441.8857894011,3006725.971468188,0.08217339217662811,0.14032511413097382,0.16705189645290375,0.3913004398345947,0.2111710011959076,0.15340520441532135,43.644046783447266,28.590150833129883,27.765804290771484,1.4446840286254883,0.4016255127948892,0.3154322678836527,0.4720904099351772
SAMP_0002,76.01605016197531,27.138666717555125,PARCEL_003,maize,97.79,48.72,70.12,1.13,6.35,600686.767544235,3002201.2650757013,0.08420584350824356,0.1441359519958496,0.16577912867069244,0.4065438210964203,0.20799067616462708,0.14958882331848145,41.894874572753906,29.703262329101562,28.40186309814453,1.4319627285003662,0.420679779700777,0.340125622150191,0.476516265754694
SAMP_0003,76.07218258123808,27.188133177012112,PARCEL_002,wheat,109.62,53.48,95.95,1.26,6.51,606202.8341143384,3007727.0678304518,0.08984959125518799,0.15471798181533813,0.16035039722919464,0.4488719403743744,0.20035895705223083,0.1404307633638382,37.69742965698242,32.37436294555664,29.928211212158203,1.4014358520507812,0.47358989540683166,0.41523393341184534,0.4873407387119721
SAMP_0004,76.08241820529257,27.164635643328687,UNASSIGNED,maize,124.68,50.82,91.69,1.29,5.91,607239.2349428475,3005132.87374871,0.09862717986106873,0.17117595672607422,0.1469203233718872,0.5147038698196411,0.19479282200336456,0.13375139236450195,34.63605499267578,34.322509765625,31.04143524169922,1.379171371459961,0.5558798336464205,0.5550538343075991,0.5008572927763024
SAMP_0005,76.05987018072148,27.18451205305948,UNASSIGNED,cotton,117.26,61.23,85.48,1.35,6.12,604986.5631107229,3007315.574362841,0.10297898203134537,0.1793355941772461,0.13825909793376923,0.5473424196243286,0.18455329537391663,0.12146395444869995,29.004308700561523,37.906349182128906,33.08934020996094,1.3382132053375244,0.5966779699490582,0.6373782964205159,0.506423503198997
SAMP_0006,76.03457083391261,27.137618165231032,PARCEL_003,maize,89.6,44.59,54.94,0.91,6.44,602523.1698097785,3002100.098737554,0.07658307999372482,0.12984326481819153,0.1685173064470291,0.34937310218811035,0.22213488817214966,0.16656187176704407,49.67418670654297,24.752790451049805,25.573020935058594,1.4885395765304565,0.3492163452451511,0.2531428906846103,0.45810171038467873
SAMP_0007,76.03207219105236,27.129904304045127,PARCEL_003,maize,86.59,50.39,63.91,1.08,6.33,602282.5657828366,3001243.5826216596,0.08018064498901367,0.1365887075662613,0.16792602837085724,0.3763548731803894,0.21533863246440887,0.1584063619375229,45.936248779296875,27.13147735595703,26.932273864746094,1.4613544940948486,0.3829435209199741,0.2923173531771141,0.46743184750478756
SAMP_0008,76.08345769608073,27.16197151220713,UNASSIGNED,maize,106.36,54.73,103.77,1.31,6.08,607344.776409791,3004838.647727506,0.0970098003745079,0.1681433767080307,0.1498156636953354,0.5025734901428223,0.18403083086013794,0.1208370104432106,28.716960906982422,38.08920669555664,33.19383239746094,1.3361233472824097,0.5407168779127155,0.5268521078303238,0.49861592866302357
SAMP_0009,76.0297756234932,27.166176722589547,UNASSIGNED,maize,73.68,40.79,63.65,0.9,6.29,602021.9975290633,3005259.68491426,0.0755569264292717,0.12791922688484192,0.16844238340854645,0.3416769504547119,0.2202938050031662,0.16435256600379944,48.66159439086914,25.397167205810547,25.941234588623047,1.4811753034591675,0.33959616024395267,0.2425365407872345,0.4551947692182913
SAMP_0010,76.02256307408962,27.179834775332193,PARCEL_001,rice,89.0,48.38,74.77,1.02,6.19,601295.0583275659,3006766.774446281,0.07620587199926376,0.12913601100444794,0.16850267350673676,0.3465440273284912,0.2165507674217224,0.15986092388629913,46.60292053222656,26.707229614257812,26.689849853515625,1.4662030935287476,0.34568001995359415,0.24921578389165017,0.4570467516063277
SAMP_0011,76.07641424814544,27.139495040942393,PARCEL_004,cotton,111.15,58.35,86.01,1.25,6.18,606668.2383653106,3002342.854526271,0.09357350319623947,0.1617003232240677,0.15535090863704681,0.4768013060092926,0.19305211305618286,0.1316625475883484,33.67866516113281,34.931758880615234,31.389572143554688,1.3722084760665894,0.5085015759251634,0.47075356562829995,0.4935006715073885
